infinitive,meaning,regular,vokalwechsel,separable,modal,exceptions,examples
tanzen,to dance,TRUE,,,,,"Ich weiß nicht, wie man tanzt.; Du tanzt."
telefonieren,to telephone,TRUE,,,,,Ich habe telefoniert.
treffen,to meet (somebody),FALSE,e->i,,,,Wann triffst du deine Familie?; Er trifft seine Kollegin im Café.; Ich treffe meine Freunde nach der Arbeit.
trinken,to drink,TRUE,,,,,Ich trinke gern Bier.; Was trinkst du?
verkaufen,to sell,TRUE,,,,,Verkaufst du auch Bücher?; Er verkauft sein altes Auto.
vermieten,to rent/lease,TRUE,,,,,Die Wohnung ist schon vermietet.
verstehen,to understand,TRUE,,,,,Ich verstehe kein Deustsch.
waschen,to wash,FALSE,a->ä,,,,Ich wasche meine Hände.; Er wäscht das Auto am Wochenende.
werden,to become,FALSE,e->i,,,du wirst,Wirst du morgen zur Party kommen?; Wirst du noch lange hier bleiben?; Es wird langsam dunkel.; Es wird kalt drausßen.; 
wissen,to know,FALSE,,,,ich weiß; du weißt; er/sie/es weiß,Jeder weiß das.; ich weiß nicht.
wohnen,to live,TRUE,,,,,Ich wohne seit zwei Jahren in Berlin.; Wo wohnst du?
wollen,to want/intend,FALSE,,,TRUE,ich will; du willst; er/sie/es will,Wollen Sie einen Kaffee trinken?; Willst du etwas trinken?; Was willst du heute Abend machen?; Was will er zum Geburtstag?
